req_count,iat_mean,iat_std,unique_path_ratio,path_entropy_mean,depth_mean,payload_len_mean,payload_len_std,error_rate_4xx,label
30,134.7891297833673,18.516218817948594,0.6666666666666666,3.1225245416987444,1.8333333333333333,12.4,3.7291643389191993,1.0,1
31,134.3036651611328,18.391753997035696,0.6451612903225806,3.129448761035013,1.8387096774193548,12.548387096774194,3.757476071886719,1.0,1
32,135.08775157313192,18.595398796998914,0.65625,3.1376632355326715,1.96875,13.25,5.379358697837503,1.0,1
33,135.54071635007858,18.475482251354247,0.6666666666666666,3.1363945088498917,1.9696969696969697,13.181818181818182,5.311249042474339,1.0,1
34,135.92592152682218,18.32342655133544,0.6764705882352942,3.126716873944236,1.9411764705882353,13.0,5.335783750799325,1.0,1
35,136.15743552937226,18.100877845190123,0.6571428571428571,3.1258333991172846,1.9428571428571428,12.942857142857143,5.269550575267887,0.9705882352941176,1
36,136.06245177132743,17.84901482360836,0.6666666666666666,3.146131492534331,2.0,13.416666666666666,5.903741751352838,0.9714285714285714,1
37,135.906543996599,17.623519379248464,0.6486486486486487,3.135425235979349,1.972972972972973,13.27027027027027,5.889287795460907,0.9722222222222222,1
38,135.84072525436812,17.388217537204877,0.6578947368421053,3.1428977809705865,1.9736842105263157,13.394736842105264,5.86039101301993,0.972972972972973,1
39,135.74373722076416,17.168039329308655,0.6410256410256411,3.161196934333673,2.0256410256410255,13.820512820512821,6.3523538737239065,0.9736842105263158,1
40,135.79036027957233,16.94894389367599,0.65,3.175470983259445,2.075,14.025,6.401122948358359,0.9743589743589743,1
41,136.25182509422302,16.98205149163275,0.6341463414634146,3.181420031122541,2.073170731707317,14.121951219512194,6.352242246529651,0.975,1
42,135.98359503397128,16.8592426655875,0.6190476190476191,3.1850690575494234,2.0476190476190474,14.095238095238095,6.278495132895051,0.975609756097561,1
43,136.19026115962438,16.70980945276629,0.627906976744186,3.201277802911922,2.046511627906977,14.30232558139535,6.3485390508402215,0.9761904761904762,1
44,135.79519404921422,16.711659798883975,0.6136363636363636,3.2062100308924344,2.022727272727273,14.25,6.285354549918551,0.9767441860465116,1
45,135.8220793984153,16.521603782674042,0.6,3.2050862315888153,2.022222222222222,14.28888888888889,6.220475945428477,0.9772727272727273,1
46,135.4250113169352,16.547951930816353,0.5869565217391305,3.1964398987729195,2.0,14.130434782608695,6.243635701054781,0.9777777777777777,1
47,135.29902437458867,16.388900405235816,0.574468085106383,3.2006073891173275,2.0851063829787235,14.574468085106384,6.871912245405635,0.9565217391304348,1
48,135.21994935705305,16.222480644662426,0.5833333333333334,3.216931896006116,2.0833333333333335,14.6875,6.843964037748884,0.9574468085106383,1
49,135.53175826867422,16.194312544186058,0.5918367346938775,3.2226930317433933,2.061224489795918,14.73469387755102,6.781654455307127,0.9583333333333334,1
50,135.62250137329102,16.040537627089112,0.6,3.2283769830206963,2.06,14.74,6.713598141086491,0.9591836734693877,1
